//-----------------------------------------------------------
//            Counter-Strike
//-----------------------------------------------------------
// In this file you can modify the sound the textures give
// when the player walks on them
//
// Location: X:\halflife\valve\sound\materials.txt
//
// NOTE: only the first 12 characters of the texture name are used
// NOTE: a maximum of 512 textures may be tagged in this file
//
//  'M' metal
//  'V' ventillation
//  'D' dirt
//  'S' slosh liquid 
//  'T' tile
//  'G' grate (Concrete is the default)
//  'W' wood
//  'P' computer
//  'Y' glass
//  'N' snow
//  'X' grass

D OUT_SND2
D OUT_SND2B
D OUT_SND2C
D OUT_WLK
D OUT_GRSS1
D OUT_DIRT1
D OUT_DIRT2
D GENERIC48
D GENERIC49
D GENERIC51
D GENERIC52
D GENERIC93
D OUT_PAVE2
D OUT_SNBAG
D OUT_SNBAG2
D OUT_SNBAGB
D OUT_SNBAGC
D OUT_TNT2
D OUT_TNT1
D OUT_TNT1B
D OUT_TNT1C
D OUT_TNT3
D OUT_TNT3B
D OUT_NET1
D OUT_NET1B
D FROSTSEWFLR
G GENERIC109
G GENERIC015C
G GENERIC015D
G GENERIC015E
G GENERIC015F
G GENERIC015G
G GENERIC015H
G GENERIC015I
G GENERIC015
G GENERIC015A
G GENERIC015B
G BABTECH_FLR02
G CRETE2_FLR03
G CRETE2_FLR03A
G CRETE2_FLR03B
G CRETE2_FLR03C
G ELEV1_FLR
G ELEV2_FLR
G ELEV_FLR
G GRATE1
G GRATE2
G GRATE2A
G GRATE3A
G GRID1
G GRID2
G TNNL_FLR12
G TNNL_FLR12A
G TNNL_FLR1A
G LAB1_STAIR2A
G FROSTFLOOR
G GRATE4A
G GRATE3B
G GRATESTEP1
G GRATESTEP2
G GRATESTEP3
G GRID1
G GRID2
G GENERIC015V
M C1A1_FLR1
M BABFL
M C2A3TURBINE1
M C2A3TURBINE2
M C2A3TURBINE3
M C2A3TURBINE4
M SILO2_P2
M SILO2_P2B
M SILO2_P3
M SILO2_P4
M SILO2_PAN2
M SILO2_W1
M SILO2_W1A
M SILO2_WALL1
M SILO2_W2
M BABTECH_C5
M LAB3_FLR2A
M LAB3_FLR2B
M FIFTIES_CMP3
M LAB1_STAIR2B
M OUT_QUNST11
M FREEZER_FLR1
M GENERIC015N
M GENERIC015P
M GENERIC015R
M GENERIC0150
M GENERIC015S
M GENERIC015T
M GENERIC015U
M GENERIC015V
M GENERIC015V2
M C1A4_DOME3
S GENERIC_114
S WATERBLUE
S WATERGREEN
S TOXICGRN
S FLUID1A
S FLUID1B
S FLUID2
S FLUID3
S FLUID4
S WATERSILO
S WATERSILO2
S WATERF
S FLUID1A
T FIFT_BLOODFLR
T FIFT_BLOODFLRA
T FIFTIES_F01
T FIFTIES_F02
T FIFTIES_F03
T FIFTIES_F03B
T FIFTIES_FLR01
T FIFTIES_FLR02
T FIFTIES_FLR02B
T FIFTIES_FLR02C
T FIFTIES_FLR03
T FIFTIES_FLR03B
T FIFTIES_FLR5
T LAB1_BLUXFLR1
T LAB1_BLUXFLR1B
T LAB1_BLUX1
T LAB1_BLUX1B
T LAB1_C4003
T LAB1_C4A001
T LAB1_C4B002
T LAB1_C4D2
T LAB1_CAB2
T LAB1_FLOOR2A
T LAB1_FLOOR2B
T LAB1_FLOOR3
T LAB1_FLOOR4
T LAB1_FLOOR5
T LAB1_FLOOR6
T LAB1_FLOOR10
T LAB1_FLR3
T LAB1_FLR4
T LAB1_FLR4B
T LAB1_FLR4C
T LAB1_FLR4D
T LAB1_FLR5B
T LAB1_FLR5C
T LAB1_FLR5D
T LAB1_FLR5D
T LAB1_FLR6B
T LAB1_FLR6C
T LAB1_FLR6D
T LAB1_W8FLR1
T LAB1_W8FLR1B
T LAB1_W8FLR1C
T LAB1_W8FLR1D
T C2A4_FLR6
T C1A2_FLR1
T C1A2_FLR2
T C1A0_LABFLRB
T C1A0_LABFLRC
T C1A0_LABFLRD
T C1A0_LABFLRE
T C1A0_LABFLR
W CRATE01
W CRATE02
W CRATE02B
W CRATE03
W CRATE04
W CRATE05
W CRATE06
W CRATE07
W CRATE08
W CRATE08B
W CRATE09
W CRATE09B
W CRATE09C
W CRATE19
W CRATE20
W CRATE21
W CRATE22
W CRATE23
W CRATE25
W FIFTIES_DR6
W FIFTIES_DR6A
W FIFTIES_CCH1
W FIFTIES_CCH2
W FIFTIES_CCH3
W FIFTIES_CCH4
W FIFTIES_DR1K
W FIFTIES_DR2
W FIFTIES_DR7
W FIFTIES_DR8
W FIFTIES_DR9
W FIFTIES_DSK1
W OUT_SLAT01
W OUT_WD
W OUT_CAC1
W OUT_CAC2
W OUT_CAC2
W BCRATE02
W BCRATE03
W BCRATE04
W BCRATE05
W BCRATE06
W BCRATE07
W BCRATE08
W BCRATE12
W BCRATE14
W BCRATE15
W BCRATE16
W BCRATE17
W BCRATE18
W BCRATE25
W BCRATE26
W CRATE10
W CRATE11
W CRATE12
W CRATE13
W CRATE24
W CRATE27
P C3A1_NRC2
P C1A1_GAD1
P C1A1_GAD2
P C1A1_GAD3
P C1A1_GAD4
P C1A1_GAD4A
P C1A1_GGT8
P C1A4_PAN1A
P C1A4_PAN1B
P C1A4_SWTCH1
P C2A2_SATORB
P C2A4_CMP1
P C2A4_GAD2
P C3A2A_W1D
P C3A2A_W1E
P C3A2A_W2D
P C3A2A_W2E
P DRKMTL_SCRN2
P DRKMTL_SCRN3
P DRKMTL_SCRN4
P DRKMTLT_WALL
P FIFTIES_GGT8
P FIFTIES_MON1
P FIFTIES_MON1B
P FIFTIES_MON2
P FIFTIES_MON2B
P FIFTIES_MON3
P FIFTIES_MON3B
P FIFTIES_MON4
P FIFTIES_PAN2
P GENERIC105
P GENERIC106
P GENERIC107
P GENERIC114
P GENERIC87A
P GENERIC88A
P GENERIC89A
P GENERIC113
P LAB1_CMPM1
P LAB1_CMPM2
P LAB1_CMPM3
P LAB1_CMPM4
P LAB1_CMPM5
P LAB1_CMPM6
P LAB1_CMPM7
P LAB1_CMPM8
P LAB1_COMP1
P LAB1_COMP2
P LAB1_COMP3
P LAB1_COMP2A
P LAB1_COMP10A
P LAB1_COMP10B
P LAB1_COMP10C
P LAB1_COMP10D
P LAB1_COMP10E
P LAB1_COMP7
P LAB1_COMP8
P LAB1_COMP9A
P LAB1_COMP9A2
P LAB1_COMP9B
P LAB1_COMP9C
P LAB1_COMP9D
P LAB1_GAD2
P LAB1_GAD3
P LAB1_GAD4
P LAB1_RADSCRN2
P LAB4_GAD3
P LAB4_GAD4
P LAB4_SWTCH
P LAB_COMPM4
P RECHARGEA
P TNNL_GAD1
P TNNL_GAD2
P TNNL_GAD4
P C2A4C2C
P C2A4W1B
P LAB1_CMP
P LAB1_CMP1
P LAB1_CMP2
P LAB1_COMP3
P LAB1_COMP3A
P LAB1_COMP3B
P LAB1_COMP3C
P LAB1_COMP3D
P LAB1_COMP4
P LAB1_COMP5
P LAB1_COMP7
P LAB1_COMP8
P LAB1_SW1
P LAB_CRT1
P LAB_CRT10A
P LAB_CRT10B
P LAB_CRT10C
P LAB_CRT10D
P LAB_CRT2
P LAB_CRT3
P LAB_CRT4
P LAB_CRT5
P LAB_CRT6
P LAB_CRT7
P LAB_CRT8
P LAB_CRT9C
P CRETESTCH01A
P DRKMTLLGT1
P FIFTS_LGHT01
P FIFTS_LGHT3
P FIFTS_LGHT4
P FIFTIES_LGT2
P FIFTS_LGHT5
P GYMLIGHT
P LIGHT1
P LIGHT2A
P LIGHT3A
P LIGHT3B
P LIGHT3C
P LIGHT3D
P LIGHT3E
P LIGHT3F
P LIGHT4A
P LIGHT5A
P LIGHT5B
P LIGHT5C
P LIGHT5D
P LIGHT5E
P LIGHT5F
P LIGHT6A
P METALSTCH2
P TNNL_LGT1
P TNNL_LGT2
P TNNL_LGT3
P TNNL_LGT4
P LAB1_GAD2
P ELEV1_DWN
P SPOTBLUE
P SPOTGREEN
P SPOTRED
P SPOTYELLOW
P LAB1_GAD3
P LAB1_GAD3B
P ELEV2_PAN
P ELEV1_PAN
P C2A4X_C3
P C2A4X_C1
P MEDKIT
Y GLASS_BRIGHT
Y GLASS_DARK
Y GLASS_MED
Y GLASSBLUE1
Y GLASSBLUE2
Y GLASSGREEEN
Y GLASSGREEEN



//------------------------------------------------------------
// cs_havana.wad
//------------------------------------------------------------


D cubed
N cubrusha
M cudumpsterc
D cugroundb
T cuiflra
T cuiflrb
T cuiflrc
T cuiflrd
T cuiflre
T cuiflrf
M custovetop
M cutrashb
W cuwoodm


//------------------------------------------------------------
// dm_tunnel.wad
//------------------------------------------------------------

Y ~light_tun01
Y ~light_tun02
M dm_su_01
M dm_su_02
P dm_su_03
Y dm_su_04
P dm_su_chair_01
P dm_su_chair_02
M dm_su_chair_03
M dm_su_chair_04
M dm_su_chair_05
M dm_su_line_01
Y dm_su_tun_02
P dm_su_wall_02
P dm_su_wall_03
P dm_su_wall_04
M dm_su_wall_05
M dm_su_wall_06
M dm_su_wall_07
P dm_subway_wall_
M dm_WheelEnd01
M dm_WheelSide01
P dml_subway_floo
M tun_cont03
M tun_cont04
M tun_cont05
M tun_cont06
P tun_danger
M tun_door01
P tun_exit
M tun_light01
M tun_metal01
M tun_metal02
M tun_metal03
M tun_rail03


//------------------------------------------------------------
// cs_common.wad
//------------------------------------------------------------

M cs_blbox01_01
M cs_blbox01_02
M cs_blbox01_03
M cs_blbox01_04
M cs_blbox01_05
W cs_blbox02_01
W cs_blbox02_02
W cs_blbox02_03
W cs_blbox03_01
W cs_blbox03_02
W cs_blbox03_03
W cs_table01_01
M cs_table02_01
M cs_table02_02
M cs_table02_03
W cs_combox_01
P cs_exit01
M tun_metal04


//------------------------------------------------------------
// cs_camoflage.wad
//------------------------------------------------------------


M {camo_wire01
M {door01
M {fence3
W camo_board01
M camo_cabinet01
M camo_cont03
M camo_cont04
M camo_cont05
M camo_cont06
M camo_door01
M camo_door02
M camo_door03
M camo_door04
P camo_exit
M camo_fan
T camo_fioor05
D camo_fioor07
M camo_fioor08
T camo_fioor11
M camo_fire
Y camo_gldirt01
Y camo_gldirt02
M camo_glside01
M camo_glside02
M camo_glside03
Y camo_redlight01
Y camo_solidb
Y camo_solidc
M camo_wall08
W camo_wood01
W camo_wood02
W camo_wood03
M car_police_01
M car_police_02
M car_police_03
M car_police_04
M car_scrapped_01
M car_scrapped_02
M car_scrapped_03
M car_scrapped_04
M forklift_01
M forklift_02
M forklift_03
M forklift_04


//------------------------------------------------------------
// de_rex.wad
//------------------------------------------------------------

P +0~rexcom01
P +0~rexcom02
M +0~rexcom03
Y +0~rex_glass02
M +1~rexcom01
M +1~rexcom02
M +1~rexcom03
Y +1~rex_glass02
Y +2~rexcom01
M +2~rexcom03
Y +2~rex_glass02
M rexcom01_2
M rexcom01_3
M rexcom01_4
M rex_airhole01
M rex_box01
M rex_cap01
M rex_cap02
M rex_cap03
P rex_CL
P rex_CL_LR
M rex_com01
P rex_com02
P rex_CR
P rex_CR2_LL
P rex_CR_LL
M rex_door01
M rex_door02
M rex_door03
M rex_door04
P rex_ent01
P rex_ent02
P rex_ent03
P rex_ent04
T rex_floor01
M rex_floor02
T rex_floor03
M rex_floor04
Y rex_glass01
Y rex_glass02
M rex_gray
Y rex_greenlight0
Y rex_redlight01
Y rex_lamp01
Y rex_lamp02
Y rex_lamp03
Y rex_lamp04
Y rex_lamp05
Y rex_light01
Y rex_light02
P rex_LL
P rex_LR
M rex_pipe01
M rex_pipe02
M rex_table01
M rex_table02
Y rex_table03
M rex_table04
M rex_table05
M rex_test
T rex_top01
T rex_top02
T rex_top03


//------------------------------------------------------------
// dm_ae.wad
//------------------------------------------------------------

M {ae_grill01
M {ae_ladder01
M ae_ ladder01
M ae_air01
M ae_etc01
M ae_etc02
M ae_etc03
M ae_tank02
M ae_tank03
M ae_wall02
Y ae_glass02
T ae_floor01


//------------------------------------------------------------
// awp_greesia.wad
//------------------------------------------------------------

Y groutTiles
T india_floor02
T india_floor04
T india_floor06
Y india_lamp01


//------------------------------------------------------------
// cs_tuto.wad
//------------------------------------------------------------

M ae_etc03
M tuto_airhole01
M tuto_box01
M tuto_box02
M tuto_cabinet01
M tuto_cabinet02
M tuto_cam01
M tuto_cam02
M tuto_door01
M tuto_door02
M tuto_door03
M tuto_door04
M tuto_door05
M tuto_door06
M tuto_door07
M tuto_door07_1
M tuto_door07_2
M tuto_door07_3
M tuto_door07_4
M tuto_door07_5
M tuto_door07_6
M tuto_door07_7
M tuto_ect01
M tuto_ect02
M tuto_elev01
M tuto_elev02
P tuto_ent01
M tuto_etc01
M tuto_etc02
M tuto_etc03
M tuto_fan01
T tuto_floor01
T tuto_floor02
M tuto_frame01
M tuto_frame03
M tuto_frame04
M tuto_gun01
M tuto_gun02
M tuto_gun03
M tuto_gun04
M tuto_gun05
M tuto_gun06
M tuto_gun07
M tuto_gun08
M tuto_gun09
M tuto_gun10
M tuto_gun11
M tuto_gun12
M tuto_gun13
Y tuto_lamp01
Y tuto_lamp02
Y tuto_lamp03
Y tuto_lamp04
Y tuto_lamp05
P tuto_wall04
P tuto_wall06
Y tuto_win01
M tuto_zone01
M tuto_zone02
M tuto_zone03
M tuto_zone04
M tuto_zone05
M tuto_zone06
M tuto_zone07
M tuto_zone08


//------------------------------------------------------------
// zm_abyss.wad
//------------------------------------------------------------

M {abyss_hook01
M abyss_box01
W abyss_box02
W abyss_box03
M abyss_cont01
M abyss_cont02
M abyss_door01
M abyss_door02
M abyss_door11
M abyss_door12
M abyss_etc01
M abyss_fan01
M abyss_floor03
M abyss_hoist01
M abyss_hoist02
M abyss_hoist03
Y abyss_lampB01
Y abyss_lampB02
Y abyss_lampBR01
Y abyss_lampBR02
Y abyss_lampBR03
Y abyss_lampG01
Y abyss_lampG02
Y abyss_lampG03
Y abyss_lampN
Y abyss_lampR01
M abyss_rail01
Y abyss_red02
M abyss_table02
M abyss_table03
M abyss_table04
M abyss_table05
M abyss_wall15
Y abyss_win01


//------------------------------------------------------------
//cs_downed_cz
//------------------------------------------------------------

G {grate_2
G {misc_grate
P chopper_dash2
P chopper_dash3
D cr_dirt2
D cr_dirttrm1b
D cr_dirttrm4b
M cr_engine
M cr_engine3
W cr_matbark
M cr_matmetal
M cr_metwheel
X cr_moss1
M cr_planeb
M cr_planefront
M cr_planeint1
M cr_planeint2
M cr_planeint3b
M cr_planeside1
M cr_planeside1z
M cr_planeside2
M cr_planetail1
M cr_planetail2
M cr_planetail3
D cr_rbedtrm5b
D cr_riverbank
D cr_riverbed3
D cr_riverrock1
D cr_rivertrm1
W cr_shack
W cr_shack2
W cr_shack3
M cr_shackroof2
M cr_shackroof3b
W cr_shackwood
M cr_stove1
M cr_stove2
M cr_stove3
W cr_woodslats
W crate_gunF01
W crate_gunS01
W door2_1
M Pipeline2_1
D rubble3_1
D rubblebase1_1
W tk_mod-wood
W wood_misc_plnk1
W WWD013


//------------------------------------------------------------
//cs_italy_cz
//------------------------------------------------------------

T bath-sn03a
W boxsides_d03
W boxsides_T01
W boxsides03
W boxtops_T01
W boxtops03
T clay_tiles_XL_1
W cr_miscwood2b
D lath_sn03
W picrate1
W picrate2
T ptilefloor1
W pwood1
W pwtrim1
W pwtrim2
W reinf_sided01
W reinf_sidedT01
T spanish_roof1_1
T spanish_roof2_1
W tk_barrel2
W tk_barreltop
w trrm_wood2
W wBarrelTop
W wfloor-sn00
W wfloor-sn01
W wfloor-sn01a
W wfloor-sn02
W wfloor-sn05


//------------------------------------------------------------
//cs_militia_cz
//------------------------------------------------------------

D -0AzDirt
D -1AzDirt
D -2AzDirt
D -3AzDirt
W miCrtLrgSd
W miCrtLrgTp
W miCrtSmSd
W miCrtSmTp
D midirtfloor01
W mifence
W mishing01
W mistairsd
W mistairtop
W mitabletop01
T mitilefloor01
D mitunnelflr01
W miunderwall
W miwoodfloor01
W miwoodm
W miwoodmtrim
M MTL_IBEAM45a
M MTL_IBEAM45b
W wood_1
W wood093
W wood1
W wood155


//------------------------------------------------------------
//de_aztec_cz
//------------------------------------------------------------

D azgrblend
D azgrmoss
D AzGrnd
X azgrss
W trrm_wood
W WOOD_PLANK_7
W WoodCrateLid
W WoodCrateLidSm
W WoodCrateSd
W WoodCrateSdSm


//------------------------------------------------------------
//de_cbble_cz
//------------------------------------------------------------

D CstCbbl
X CstlGrass
W djConstBlock
W djCrateSd1
W djCrateSd2
W djCrateSd3
W djCrateSm
W djCrateSmTp
W djCrateTop


//------------------------------------------------------------
//de_dust_cz
//------------------------------------------------------------

M barrel_bio02
M barrel_bio03
M barrel_exp02
M barrel_exp03
M barrel_mtl02
W duCrtLrgTp
W duCrtSmSd
W duCrtSmTp
M duMltryCrTp
D duRoad
D duRoadTgt
D duRoadTgtA
D duSand
T dutile3
T dutile4
T dutile5
T dutile6
T dutile7
T dutile8
T dutile9
D SandRoadTgtB

//------------------------------------------------------------
//de_fastline_cz
//------------------------------------------------------------

G BR_elev_ceil
T BR_elev_floor
T tl_drk_flat
T tl_gry_clean01
T tl_gry_clean01b
T tl_gry_clean02
T tl_gry_clean03
T tl_gry_filth05
T tl_gry_flat
T tl_gry_small01
T tl_nubby02
T tl_wht_clean01
T tl_wht_clean02
T tl_wht_clean03
T tl_wht_small01


//------------------------------------------------------------
//de_inferno_cz
//------------------------------------------------------------

W eastcratelgtp
W eastcratelgtp2
T FLR010
T i_ground1
T m_floor8
T misc_floor_tl1

//------------------------------------------------------------
//de_stadium_cz
//------------------------------------------------------------

X cugroundd
T drkmtlt_flr01
T drkmtlt_flr02
T drkmtlt_flr03
V duct_flr02
V duct_wall04
X grass2_1
X grassomatic
T TileGreen0001

//------------------------------------------------------------
//de_tides_cz
//------------------------------------------------------------

T msnTileflr
X out_ground4

//------------------------------------------------------------
//de_truth_cz
//------------------------------------------------------------

D canal_flr4_1
V duct_flr01a
X grd_grs_pth_1
W jpntempceil1
W jpntempceil2
T misc_floor_rib
W oak01
T fr_tile_1
W wood_dojoflr
W wood_flr23
W woods_plank_org
W WWD003
W WWD013

//------------------------------------------------------------
//de_vostok_cz
//------------------------------------------------------------

N snw_grnd_1
N stn_flr_cbble
N stn_flr_pl_bmb
N stn_flr_plst
T stn_flr_plstb
N wd_drk_snow
N wood_crate_tp
N stn_rooftl_sm1
N flr_mud_snow

//------------------------------------------------------------
//de_sienna_cz
//------------------------------------------------------------

W djCrate1Top
X djGrass1
D djGrass4
T djGrnd1_a
T djGrnd1_b
T djGrnd1_c
T i_floor1
T i_floor2

//------------------------------------------------------------
//cs_office_cz
//------------------------------------------------------------

N cnc_tiretr


//------------------------------------------------------------
// de_vegas.wad
//------------------------------------------------------------

M {pylon.jpg
P +1mc_monitor
W as_parquet
T b_cp_v33c
T C1A1_FLR2B_MCL
X flowers
Y lv_arch
T lv_check_flr
M lv_coil
M lv_dbldrs
W lv_mahog01
W lv_mahog02
W lv_mahog03
W lv_mahog04
W lv_mahog05
W lv_panelv_panelling
W lv_sign_elev
W lv_sign_lounge
W lv_sign_man
W lv_sign_rooms1
W lv_sign_rooms2
W lv_sign_secur
W lv_sign_staff
W lv_speaker
W lv_sphinx
W lv_trim_wood
W lv_wallpanel
W lv_wallpaper
W lv_wallpaper2
W lv_wallppr_trim
W lv_wood_flr2
M MoneyTop
Y scrollsign
Y scrollsign1



//------------------------------------------------------------
// cs_hk.wad
//------------------------------------------------------------
M {ae_wire01
M {hk_prop02
M {hk_prop63
M {hk_prop68
M {hk_prop77
M {hk_sign57
W {hk_u82
W {hk_u83
M {hk_wire01
M {hk_wire51
N hk_pn02
W hk_bench01
M hk_chinema01
Y hk_door01
Y hk_door02
